CRIME_RATE,AGE,INDUS,NOX,DISTANCE,TAX,PTRATIO,AVG_ROOM,LSTAT,AVG_PRICE
5.22,88.8,8.14,0.538,4,307,21,6.047,17.28,14.8
0.37,94.4,8.14,0.538,4,307,21,6.495,12.8,18.4
5.8,87.3,8.14,0.538,4,307,21,6.674,11.98,21
1.3,94.1,8.14,0.538,4,307,21,5.713,22.6,12.7
0.23,100,8.14,0.538,4,307,21,6.072,13.04,14.5
1.12,82,8.14,0.538,4,307,21,5.95,27.71,13.2
6.33,95,8.14,0.538,4,307,21,5.701,18.35,13.1
0.04,96.9,8.14,0.538,4,307,21,6.096,20.34,13.5
8.6,68.2,5.96,0.499,5,279,19.2,5.933,9.68,18.9
7.9,61.4,5.96,0.499,5,279,19.2,5.841,11.41,20
7.19,41.5,5.96,0.499,5,279,19.2,5.85,8.77,21
3.88,30.2,5.96,0.499,5,279,19.2,5.966,10.13,24.7
8.99,21.8,2.95,0.428,3,252,18.3,6.595,4.32,30.8
1.27,15.8,2.95,0.428,3,252,18.3,7.024,1.98,34.9
4.86,2.9,6.91,0.448,3,233,17.9,6.77,4.84,26.6
0.66,6.6,6.91,0.448,3,233,17.9,6.169,5.81,25.3
3.73,6.5,6.91,0.448,3,233,17.9,6.211,7.44,24.7
4.63,40,6.91,0.448,3,233,17.9,6.069,9.55,21.2
8.41,33.8,6.91,0.448,3,233,17.9,5.682,10.21,19.3
5.66,33.3,6.91,0.448,3,233,17.9,5.786,14.15,20
1.43,85.5,6.91,0.448,3,233,17.9,6.03,18.8,16.6
8.3,95.3,6.91,0.448,3,233,17.9,5.399,30.81,14.4
8.24,62,6.91,0.448,3,233,17.9,5.602,16.2,19.4
0.63,45.7,5.64,0.439,4,243,16.8,5.963,13.45,19.7
2.69,63,5.64,0.439,4,243,16.8,6.115,9.43,20.5
0.42,21.1,5.64,0.439,4,243,16.8,6.511,5.28,25
5.84,21.4,5.64,0.439,4,243,16.8,5.998,8.43,23.4
1.51,47.6,4,0.41,3,469,21.1,5.888,14.8,18.9
5.03,21.9,1.22,0.403,5,226,17.9,7.249,4.81,35.4
7.17,35.7,0.74,0.41,2,313,17.3,6.383,5.77,24.7
3.6,40.5,1.32,0.411,5,256,15.1,6.816,3.95,31.6
3.01,29.2,5.13,0.453,8,284,19.7,6.145,6.86,23.3
0.73,47.2,5.13,0.453,8,284,19.7,5.927,9.22,19.6
3.3,66.2,5.13,0.453,8,284,19.7,5.741,13.15,18.7
1.97,93.4,5.13,0.453,8,284,19.7,5.966,14.44,16
9.65,67.8,5.13,0.453,8,284,19.7,6.456,6.73,22.2
0.43,43.4,5.13,0.453,8,284,19.7,6.762,9.5,25
1.97,59.5,1.38,0.4161,3,216,18.6,7.104,8.05,33
7.65,17.8,3.37,0.398,4,337,16.1,6.29,4.67,23.5
7.48,31.1,3.37,0.398,4,337,16.1,5.787,10.24,19.4
5.7,21.4,6.07,0.409,4,345,18.9,5.878,8.1,22
5.94,36.8,6.07,0.409,4,345,18.9,5.594,13.09,17.4
3.96,33,6.07,0.409,4,345,18.9,5.885,8.79,20.9
4.86,6.6,10.81,0.413,4,305,19.2,6.417,6.72,24.2
0.63,17.5,10.81,0.413,4,305,19.2,5.961,9.88,21.7
1.09,7.8,10.81,0.413,4,305,19.2,6.065,5.52,22.8
3.28,6.2,10.81,0.413,4,305,19.2,6.245,7.54,23.4
6.44,6,12.83,0.437,5,398,18.7,6.273,6.78,24.1
8.23,45,12.83,0.437,5,398,18.7,6.286,8.94,21.4
2.99,74.5,12.83,0.437,5,398,18.7,6.279,11.97,20
7.67,45.8,12.83,0.437,5,398,18.7,6.14,10.27,20.8
7.9,53.7,12.83,0.437,5,398,18.7,6.232,12.34,21.2
3.84,36.6,12.83,0.437,5,398,18.7,5.874,9.1,20.3
9.23,33.5,4.86,0.426,4,281,19,6.727,5.29,28
1.05,70.4,4.86,0.426,4,281,19,6.619,7.22,23.9
1.96,32.2,4.86,0.426,4,281,19,6.302,6.72,24.8
3.43,46.7,4.86,0.426,4,281,19,6.167,7.51,22.9
6.36,48,4.49,0.449,3,247,18.5,6.389,9.62,23.9
6.55,56.1,4.49,0.449,3,247,18.5,6.63,6.53,26.6
6.42,45.1,4.49,0.449,3,247,18.5,6.015,12.86,22.5
3.15,56.8,4.49,0.449,3,247,18.5,6.121,8.44,22.2
9.27,86.3,3.41,0.489,2,270,17.8,7.007,5.5,23.6
3.7,63.1,3.41,0.489,2,270,17.8,7.079,5.7,28.7
1.28,66.1,3.41,0.489,2,270,17.8,6.417,8.81,22.6
0.91,73.9,3.41,0.489,2,270,17.8,6.405,8.2,22
9.07,53.6,15.04,0.464,4,270,18.2,6.442,8.16,22.9
5.8,28.9,15.04,0.464,4,270,18.2,6.211,6.21,25
2.61,77.3,15.04,0.464,4,270,18.2,6.249,10.59,20.6
7.21,57.8,2.89,0.445,2,276,18,6.625,6.65,28.4
3.15,69.6,2.89,0.445,2,276,18,6.163,11.34,21.4
8.16,76,2.89,0.445,2,276,18,8.069,4.21,38.7
5.75,36.9,2.89,0.445,2,276,18,7.82,3.57,43.8
4.46,62.5,2.89,0.445,2,276,18,7.416,6.19,33.2
6.3,79.9,8.56,0.52,5,384,20.9,6.727,9.42,27.5
7.71,71.3,8.56,0.52,5,384,20.9,6.781,7.67,26.5
8.93,85.4,8.56,0.52,5,384,20.9,6.405,10.63,18.6
9.71,87.4,8.56,0.52,5,384,20.9,6.137,13.44,19.3
8.9,90,8.56,0.52,5,384,20.9,6.167,12.33,20.1
3.77,96.7,8.56,0.52,5,384,20.9,5.851,16.47,19.5
3.63,91.9,8.56,0.52,5,384,20.9,5.836,18.66,19.5
0.14,85.2,8.56,0.52,5,384,20.9,6.127,14.09,20.4
6.65,97.1,8.56,0.52,5,384,20.9,6.474,12.27,19.8
3.29,91.2,8.56,0.52,5,384,20.9,6.229,15.55,19.4
5.25,54.4,8.56,0.52,5,384,20.9,6.195,13,21.7
9.17,81.6,10.01,0.547,6,432,17.8,6.715,10.16,22.8
8.48,92.9,10.01,0.547,6,432,17.8,5.913,16.21,18.8
9.08,95.4,10.01,0.547,6,432,17.8,6.092,17.09,18.7
2.01,84.2,10.01,0.547,6,432,17.8,6.254,10.45,18.5
4.57,88.2,10.01,0.547,6,432,17.8,5.928,15.76,18.3
3.48,72.5,10.01,0.547,6,432,17.8,6.176,12.04,21.2
2.21,82.6,10.01,0.547,6,432,17.8,6.021,10.3,19.2
7.21,73.1,10.01,0.547,6,432,17.8,5.872,15.37,20.4
2.52,65.2,10.01,0.547,6,432,17.8,5.731,13.61,19.3
1.42,69.7,25.65,0.581,2,188,19.1,5.87,14.37,22
8.1,84.1,25.65,0.581,2,188,19.1,6.004,14.27,20.3
8.09,92.9,25.65,0.581,2,188,19.1,5.961,17.93,20.5
0.6,97,25.65,0.581,2,188,19.1,5.856,25.41,17.3
2.88,95.8,25.65,0.581,2,188,19.1,5.879,17.58,18.8
7.01,88.4,25.65,0.581,2,188,19.1,5.986,14.81,21.4
3.79,95.6,25.65,0.581,2,188,19.1,5.613,27.26,15.7
7.15,96,21.89,0.624,4,437,21.2,5.693,17.19,16.2
3.79,98.8,21.89,0.624,4,437,21.2,6.431,15.39,18
2.65,94.7,21.89,0.624,4,437,21.2,5.637,18.34,14.3
6.03,98.9,21.89,0.624,4,437,21.2,6.458,12.6,19.2
4.39,97.7,21.89,0.624,4,437,21.2,6.326,12.26,19.6
8.58,97.9,21.89,0.624,4,437,21.2,6.372,11.12,23
0.4,95.4,21.89,0.624,4,437,21.2,5.822,15.03,18.4
5.48,98.4,21.89,0.624,4,437,21.2,5.757,17.31,15.6
0.66,98.2,21.89,0.624,4,437,21.2,6.335,16.96,18.1
9.87,93.5,21.89,0.624,4,437,21.2,5.942,16.9,17.4
5.05,98.4,21.89,0.624,4,437,21.2,6.454,14.59,17.1
0.91,98.2,21.89,0.624,4,437,21.2,5.857,21.32,13.3
2.92,97.9,21.89,0.624,4,437,21.2,6.151,18.46,17.8
8.82,93.6,21.89,0.624,4,437,21.2,6.174,24.16,14
3.92,100,21.89,0.624,4,437,21.2,5.019,34.41,14.4
3.83,100,19.58,0.871,5,403,14.7,5.403,26.82,13.4
0.68,100,19.58,0.871,5,403,14.7,5.468,26.42,15.6
1.25,97.8,19.58,0.871,5,403,14.7,4.903,29.29,11.8
2.88,100,19.58,0.871,5,403,14.7,6.13,27.8,13.8
9.89,100,19.58,0.871,5,403,14.7,5.628,16.65,15.6
8.54,95.7,19.58,0.871,5,403,14.7,4.926,29.53,14.6
4.75,93.8,19.58,0.871,5,403,14.7,5.186,28.32,17.8
3.07,94.9,19.58,0.871,5,403,14.7,5.597,21.45,15.4
9.17,97.3,19.58,0.871,5,403,14.7,6.122,14.1,21.5
9.33,100,19.58,0.871,5,403,14.7,5.404,13.28,19.6
3.51,88,19.58,0.871,5,403,14.7,5.012,12.12,15.3
9.81,98.5,19.58,0.871,5,403,14.7,5.709,15.79,19.4
1.24,96,19.58,0.871,5,403,14.7,6.129,15.12,17
0.76,82.6,19.58,0.871,5,403,14.7,6.152,15.02,15.6
9.09,94,19.58,0.871,5,403,14.7,5.272,16.14,13.1
7.86,97.4,19.58,0.605,5,403,14.7,6.943,4.59,41.3
4.69,100,19.58,0.605,5,403,14.7,6.066,6.43,24.3
4.81,100,19.58,0.871,5,403,14.7,6.51,7.39,23.3
8.65,92.6,19.58,0.605,5,403,14.7,6.25,5.5,27
2.63,90.8,19.58,0.605,5,403,14.7,7.489,1.73,50
8.39,98.2,19.58,0.605,5,403,14.7,7.802,1.92,50
1.26,93.9,19.58,0.605,5,403,14.7,8.375,3.32,50
0.75,91.8,19.58,0.605,5,403,14.7,5.854,11.64,22.7
6.11,93,19.58,0.605,5,403,14.7,6.101,9.81,25
1.5,96.2,19.58,0.605,5,403,14.7,7.929,3.7,50
1.33,79.2,19.58,0.605,5,403,14.7,5.877,12.14,23.8
6.02,96.1,19.58,0.605,5,403,14.7,6.319,11.1,23.8
0.42,95.2,19.58,0.605,5,403,14.7,6.402,11.32,22.3
4.8,94.6,19.58,0.605,5,403,14.7,5.875,14.43,17.4
6.98,97.3,19.58,0.605,5,403,14.7,5.88,12.03,19.1
0.58,88.5,4.05,0.51,5,296,16.6,5.572,14.69,23.1
3.64,84.1,4.05,0.51,5,296,16.6,6.416,9.04,23.6
0.76,68.7,4.05,0.51,5,296,16.6,5.859,9.64,22.6
3.45,33.1,4.05,0.51,5,296,16.6,6.546,5.33,29.4
3.56,47.2,4.05,0.51,5,296,16.6,6.02,10.11,23.2
6.08,73.4,4.05,0.51,5,296,16.6,6.315,6.29,24.6
3.77,74.4,4.05,0.51,5,296,16.6,6.86,6.92,29.9
8.06,58.4,2.46,0.488,3,193,17.8,6.98,5.04,37.2
1.77,83.3,2.46,0.488,3,193,17.8,7.765,7.56,39.8
2.22,62.2,2.46,0.488,3,193,17.8,6.144,9.45,36.2
6.17,92.2,2.46,0.488,3,193,17.8,7.155,4.82,37.9
3.62,95.6,2.46,0.488,3,193,17.8,6.563,5.68,32.5
5.47,89.8,2.46,0.488,3,193,17.8,5.604,13.98,26.4
6.89,68.8,2.46,0.488,3,193,17.8,6.153,13.15,29.6
7.23,53.6,2.46,0.488,3,193,17.8,7.831,4.45,50
0.76,41.1,3.44,0.437,5,398,15.2,6.782,6.68,32
3.82,29.1,3.44,0.437,5,398,15.2,6.556,4.56,29.8
8.73,38.9,3.44,0.437,5,398,15.2,7.185,5.39,34.9
0.62,21.5,3.44,0.437,5,398,15.2,6.951,5.1,37
0.9,30.8,3.44,0.437,5,398,15.2,6.739,4.69,30.5
2.7,26.3,3.44,0.437,5,398,15.2,7.178,2.87,36.4
6.51,9.9,2.93,0.401,1,265,15.6,6.8,5.03,31.1
1.65,18.8,2.93,0.401,1,265,15.6,6.604,4.38,29.1
9.89,32,0.46,0.422,4,255,14.4,7.875,2.97,50
6.03,34.1,1.52,0.404,2,329,12.6,7.287,4.08,33.3
6.31,36.6,1.52,0.404,2,329,12.6,7.107,8.61,30.3
9.78,38.3,1.52,0.404,2,329,12.6,7.274,6.62,34.6
3.19,15.3,1.47,0.403,3,402,17,6.975,4.56,34.9
0.41,13.9,1.47,0.403,3,402,17,7.135,4.45,32.9
1.92,38.4,2.03,0.415,2,348,14.7,6.162,7.43,24.1
9.3,15.7,2.03,0.415,2,348,14.7,7.61,3.11,42.3
2.7,33.2,2.68,0.4161,4,224,14.7,7.853,3.81,48.5
9.07,31.9,2.68,0.4161,4,224,14.7,8.034,2.88,50
8.52,22.3,10.59,0.489,4,277,18.6,5.891,10.87,22.6
0.04,52.5,10.59,0.489,4,277,18.6,6.326,10.97,24.4
4.63,72.7,10.59,0.489,4,277,18.6,5.783,18.06,22.5
9.11,59.1,10.59,0.489,4,277,18.6,6.064,14.66,24.4
9.02,100,10.59,0.489,4,277,18.6,5.344,23.09,20
9.58,92.1,10.59,0.489,4,277,18.6,5.96,17.27,21.7
0.23,88.6,10.59,0.489,4,277,18.6,5.404,23.98,19.3
9.31,53.8,10.59,0.489,4,277,18.6,5.807,16.03,22.4
4.21,32.3,10.59,0.489,4,277,18.6,6.375,9.38,28.1
3.55,9.8,10.59,0.489,4,277,18.6,5.412,29.55,23.7
3.54,42.4,10.59,0.489,4,277,18.6,6.182,9.47,25
9.01,56,13.89,0.55,5,276,16.4,5.888,13.51,23.3
7.67,85.1,13.89,0.55,5,276,16.4,6.642,9.69,28.7
0.13,93.8,13.89,0.55,5,276,16.4,5.951,17.92,21.5
4.49,92.4,13.89,0.55,5,276,16.4,6.373,10.5,23
0.81,88.5,6.2,0.507,8,307,17.4,6.951,9.71,26.7
4.91,91.3,6.2,0.507,8,307,17.4,6.164,21.46,21.7
9.68,77.7,6.2,0.507,8,307,17.4,6.879,9.93,27.5
5.76,80.8,6.2,0.507,8,307,17.4,6.618,7.6,30.1
4.79,78.3,6.2,0.504,8,307,17.4,8.266,4.14,44.8
0.55,83,6.2,0.504,8,307,17.4,8.725,4.63,50
4.06,86.5,6.2,0.504,8,307,17.4,8.04,3.13,37.6
4.45,79.9,6.2,0.504,8,307,17.4,7.163,6.36,31.6
2.25,17,6.2,0.504,8,307,17.4,7.686,3.92,46.7
6.63,21.4,6.2,0.504,8,307,17.4,6.552,3.76,31.5
9.32,68.1,6.2,0.504,8,307,17.4,5.981,11.65,24.3
5.01,76.9,6.2,0.504,8,307,17.4,7.412,5.25,31.7
7.47,73.3,6.2,0.507,8,307,17.4,8.337,2.47,41.7
4.73,70.4,6.2,0.507,8,307,17.4,8.247,3.95,48.3
2.05,66.5,6.2,0.507,8,307,17.4,6.726,8.05,29
7.65,61.5,6.2,0.507,8,307,17.4,6.086,10.88,24
6.74,76.5,6.2,0.507,8,307,17.4,6.631,9.54,25.1
7.28,71.6,6.2,0.507,8,307,17.4,7.358,4.73,31.5
6.13,18.5,4.93,0.428,6,300,16.6,6.481,6.36,23.7
2.58,42.2,4.93,0.428,6,300,16.6,6.606,7.37,23.3
6.93,54.3,4.93,0.428,6,300,16.6,6.897,11.38,22
7.25,65.1,4.93,0.428,6,300,16.6,6.095,12.4,20.1
4.35,52.9,4.93,0.428,6,300,16.6,6.358,11.22,22.2
5.26,7.8,4.93,0.428,6,300,16.6,6.393,5.19,23.7
3.64,76.5,5.86,0.431,7,330,19.1,5.593,12.5,17.6
5.47,70.2,5.86,0.431,7,330,19.1,5.605,18.46,18.5
4.29,34.9,5.86,0.431,7,330,19.1,6.108,9.16,24.3
2.48,79.2,5.86,0.431,7,330,19.1,6.226,10.15,20.5
0.69,49.1,5.86,0.431,7,330,19.1,6.433,9.52,24.5
2.88,17.5,5.86,0.431,7,330,19.1,6.718,6.56,26.2
9.07,13,5.86,0.431,7,330,19.1,6.487,5.9,24.4
7.57,8.9,5.86,0.431,7,330,19.1,6.438,3.59,24.8
7.52,6.8,5.86,0.431,7,330,19.1,6.957,3.53,29.6
8.49,8.4,5.86,0.431,7,330,19.1,8.259,3.54,42.8
6.19,32,3.64,0.392,1,315,16.4,6.108,6.57,21.9
2.5,19.1,3.64,0.392,1,315,16.4,5.876,9.25,20.9
4.14,34.2,3.75,0.394,3,244,15.9,7.454,3.11,44
4.6,86.9,3.97,0.647,5,264,13,8.704,5.12,50
0.12,100,3.97,0.647,5,264,13,7.333,7.79,36
4.74,100,3.97,0.647,5,264,13,6.842,6.9,30.1
6.51,81.8,3.97,0.647,5,264,13,7.203,9.59,33.8
1.36,89.4,3.97,0.647,5,264,13,7.52,7.26,43.1
3.63,91.5,3.97,0.647,5,264,13,8.398,5.91,48.8
3.22,94.5,3.97,0.647,5,264,13,7.327,11.25,31
7.15,91.6,3.97,0.647,5,264,13,7.206,8.1,36.5
5.75,62.8,3.97,0.647,5,264,13,5.56,10.45,22.8
3.44,84.6,3.97,0.647,5,264,13,7.014,14.79,30.7
6.3,67,3.97,0.575,5,264,13,8.297,7.44,50
1.47,52.6,3.97,0.575,5,264,13,7.47,3.16,43.5
8.23,61.5,6.96,0.464,3,223,18.6,5.92,13.65,20.7
1.83,42.1,6.96,0.464,3,223,18.6,5.856,13,21.1
9.64,16.3,6.96,0.464,3,223,18.6,6.24,6.59,25.2
7.4,58.7,6.96,0.464,3,223,18.6,6.538,7.73,24.4
7.34,51.8,6.96,0.464,3,223,18.6,7.691,6.58,35.2
0.33,32.9,6.41,0.447,4,254,17.6,6.758,3.53,32.4
8.79,42.8,6.41,0.447,4,254,17.6,6.854,2.98,32
9.35,49,6.41,0.447,4,254,17.6,7.267,6.05,33.2
8.71,27.6,6.41,0.447,4,254,17.6,6.826,4.16,33.1
0.11,32.1,6.41,0.447,4,254,17.6,6.482,7.19,29.1
4.11,32.2,3.33,0.4429,5,216,14.9,6.812,4.85,35.1
5.53,64.5,3.33,0.4429,5,216,14.9,7.82,3.76,45.4
7.79,37.2,3.33,0.4429,5,216,14.9,6.968,4.59,35.4
4.27,49.7,3.33,0.4429,5,216,14.9,7.645,3.01,46
4.71,24.8,1.21,0.401,1,198,13.6,7.923,3.16,50
6.75,20.8,2.97,0.4,1,285,15.3,7.088,7.85,32.2
5.99,31.9,2.25,0.389,1,300,15.3,6.453,8.23,22
9.81,31.5,1.76,0.385,1,241,18.2,6.23,12.93,20.1
0.23,31.3,5.32,0.405,6,293,16.6,6.209,7.14,23.2
8.49,45.6,5.32,0.405,6,293,16.6,6.315,7.6,22.3
5.86,22.9,5.32,0.405,6,293,16.6,6.565,9.51,24.8
0.53,27.9,4.95,0.411,4,245,19.2,6.861,3.33,28.5
5.91,27.7,4.95,0.411,4,245,19.2,7.148,3.56,37.3
4.96,23.4,4.95,0.411,4,245,19.2,6.63,4.7,27.9
5.63,18.4,13.92,0.437,4,289,16,6.127,8.58,23.9
5.45,42.3,13.92,0.437,4,289,16,6.009,10.4,21.7
3.62,31.1,13.92,0.437,4,289,16,6.678,6.27,28.6
6.58,51,13.92,0.437,4,289,16,6.549,7.39,27.1
0.67,58,13.92,0.437,4,289,16,5.79,15.84,20.3
2.07,20.1,2.24,0.4,5,358,14.8,6.345,4.97,22.5
0.84,10,2.24,0.4,5,358,14.8,7.041,4.74,29
4.17,47.4,2.24,0.4,5,358,14.8,6.871,6.07,24.8
0.12,40.4,6.09,0.433,7,329,16.1,6.59,9.5,22
2.06,18.4,6.09,0.433,7,329,16.1,6.495,8.67,26.4
4.48,17.7,6.09,0.433,7,329,16.1,6.982,4.86,33.1
6.45,41.1,2.18,0.472,7,222,18.4,7.236,6.93,36.1
5.06,58.1,2.18,0.472,7,222,18.4,6.616,8.93,28.4
3.58,71.9,2.18,0.472,7,222,18.4,7.42,6.47,33.4
7.98,70.3,2.18,0.472,7,222,18.4,6.849,7.53,28.2
5.79,82.5,9.9,0.544,4,304,18.4,6.635,4.54,22.8
4.86,76.7,9.9,0.544,4,304,18.4,5.972,9.97,20.3
4.61,37.8,9.9,0.544,4,304,18.4,4.973,12.64,16.1
1.49,52.8,9.9,0.544,4,304,18.4,6.122,5.98,22.1
9.4,90.4,9.9,0.544,4,304,18.4,6.023,11.72,19.4
6.84,82.8,9.9,0.544,4,304,18.4,6.266,7.9,21.6
1.57,87.3,9.9,0.544,4,304,18.4,6.567,9.28,23.8
0.85,77.7,9.9,0.544,4,304,18.4,5.705,11.5,16.2
8.91,83.2,9.9,0.544,4,304,18.4,5.914,18.33,17.8
5.09,71.7,9.9,0.544,4,304,18.4,5.782,15.94,19.8
5.8,67.2,9.9,0.544,4,304,18.4,6.382,10.36,23.1
4.82,58.8,9.9,0.544,4,304,18.4,6.113,12.73,21
9.57,52.3,7.38,0.493,5,287,19.6,6.426,7.2,23.8
8.92,54.3,7.38,0.493,5,287,19.6,6.376,6.87,23.1
6.4,49.9,7.38,0.493,5,287,19.6,6.041,7.7,20.4
8.9,74.3,7.38,0.493,5,287,19.6,5.708,11.74,18.5
0.81,40.1,7.38,0.493,5,287,19.6,6.415,6.12,25
0.52,14.7,7.38,0.493,5,287,19.6,6.431,5.08,24.6
7.76,28.9,7.38,0.493,5,287,19.6,6.312,6.15,23
0.35,43.7,7.38,0.493,5,287,19.6,6.083,12.79,22.2
2.16,25.8,3.24,0.46,4,430,16.9,5.868,9.97,19.3
0.9,17.2,3.24,0.46,4,430,16.9,6.333,7.34,22.6
8.65,32.2,3.24,0.46,4,430,16.9,6.144,9.09,19.8
4.5,28.4,6.06,0.4379,1,304,16.9,5.706,12.43,17.1
3.54,23.3,6.06,0.4379,1,304,16.9,6.031,7.83,19.4
5.53,38.1,5.19,0.515,5,224,20.2,6.316,5.68,22.2
3.59,38.5,5.19,0.515,5,224,20.2,6.31,6.75,20.7
1.19,34.5,5.19,0.515,5,224,20.2,6.037,8.01,21.1
4.78,46.3,5.19,0.515,5,224,20.2,5.869,9.8,19.5
5.18,59.6,5.19,0.515,5,224,20.2,5.895,10.56,18.5
0.73,37.3,5.19,0.515,5,224,20.2,6.059,8.51,20.6
2.17,45.4,5.19,0.515,5,224,20.2,5.985,9.74,19
2.3,58.5,5.19,0.515,5,224,20.2,5.968,9.29,18.7
7.62,49.3,1.52,0.442,1,284,15.5,7.241,5.49,32.7
4.04,59.7,1.89,0.518,1,422,15.9,6.54,8.65,16.5
8.49,56.4,3.78,0.484,5,370,17.6,6.696,7.18,23.9
8.07,28.1,3.78,0.484,5,370,17.6,6.874,4.61,31.2
2.39,48.5,4.39,0.442,3,352,18.8,6.014,10.53,17.5
0.72,52.3,4.39,0.442,3,352,18.8,5.898,12.67,17.2
1.27,27.7,4.15,0.429,4,351,17.9,6.516,6.36,23.1
2.69,29.7,2.01,0.435,4,280,17,6.635,5.99,24.5
7.44,34.5,1.25,0.429,1,335,19.7,6.939,5.89,26.6
6.84,44.4,1.25,0.429,1,335,19.7,6.49,5.98,22.9
6.61,35.9,1.69,0.411,4,411,18.3,6.579,5.49,24.1
1.27,18.5,1.69,0.411,4,411,18.3,5.884,7.79,18.6
9.1,36.1,2.02,0.41,5,187,17,6.728,4.5,30.1
1.05,21.9,1.91,0.413,4,334,22,5.663,8.05,18.2
8.43,19.5,1.91,0.413,4,334,22,5.936,5.57,20.6
0.96,97.4,18.1,0.77,24,666,20.2,6.212,17.6,17.8
4.29,91,18.1,0.77,24,666,20.2,6.395,13.27,21.7
0.38,83.4,18.1,0.77,24,666,20.2,6.127,11.48,22.7
7.28,81.3,18.1,0.77,24,666,20.2,6.112,12.67,22.6
4.51,88,18.1,0.77,24,666,20.2,6.398,7.79,25
9.43,91.1,18.1,0.77,24,666,20.2,6.251,14.19,19.9
6.12,96.2,18.1,0.77,24,666,20.2,5.362,10.19,20.8
6.76,89,18.1,0.77,24,666,20.2,5.803,14.64,16.8
9.99,82.9,18.1,0.718,24,666,20.2,8.78,5.29,21.9
9.59,87.9,18.1,0.718,24,666,20.2,3.561,7.12,27.5
5.5,91.4,18.1,0.718,24,666,20.2,4.963,14,21.9
4.24,100,18.1,0.631,24,666,20.2,3.863,13.33,23.1
7.25,100,18.1,0.631,24,666,20.2,4.97,3.26,50
5.32,96.8,18.1,0.631,24,666,20.2,6.683,3.73,50
7.39,97.5,18.1,0.631,24,666,20.2,7.016,2.96,50
3.84,100,18.1,0.631,24,666,20.2,6.216,9.53,50
1.55,89.6,18.1,0.668,24,666,20.2,5.875,8.88,50
5.96,100,18.1,0.668,24,666,20.2,4.906,34.77,13.8
0.71,100,18.1,0.668,24,666,20.2,4.138,37.97,13.8
3.12,97.9,18.1,0.671,24,666,20.2,7.313,13.44,15
5.89,93.3,18.1,0.671,24,666,20.2,6.649,23.24,13.9
3.08,98.8,18.1,0.671,24,666,20.2,6.794,21.24,13.3
2.82,96.2,18.1,0.671,24,666,20.2,6.38,23.69,13.1
9.75,100,18.1,0.671,24,666,20.2,6.223,21.78,10.2
0.21,91.9,18.1,0.671,24,666,20.2,6.968,17.21,10.4
5.69,99.1,18.1,0.671,24,666,20.2,6.545,21.08,10.9
7.68,100,18.1,0.7,24,666,20.2,5.536,23.6,11.3
8.79,100,18.1,0.7,24,666,20.2,5.52,24.56,12.3
3.49,91.2,18.1,0.7,24,666,20.2,4.368,30.63,8.8
2.81,98.1,18.1,0.7,24,666,20.2,5.277,30.81,7.2
7.47,100,18.1,0.7,24,666,20.2,4.652,28.28,10.5
0.38,89.5,18.1,0.7,24,666,20.2,5,31.99,7.4
5.7,100,18.1,0.7,24,666,20.2,4.88,30.62,10.2
5.63,98.9,18.1,0.7,24,666,20.2,5.39,20.85,11.5
9.56,97,18.1,0.7,24,666,20.2,5.713,17.11,15.1
0.74,82.5,18.1,0.7,24,666,20.2,6.051,18.76,23.2
0.06,97,18.1,0.7,24,666,20.2,5.036,25.68,9.7
0.46,92.6,18.1,0.693,24,666,20.2,6.193,15.17,13.8
